Asset Class,Sentiment Regime,Trades,Total Net PnL ($),Avg Net PnL ($),Win Rate (%),Long Ratio (%),Total Volume ($)
Altcoin,Extreme Greed,2551,104788.87968700001,41.07756945785967,93.32632685233841,57.69080234833659,7403818.100000001
Altcoin,Fear,95850,2887278.318039189,30.122882817310266,85.11564339781329,64.21105338924704,188923882.77
Altcoin,Greed,28310,2982271.35732839,105.3433895206072,87.42076716983598,41.53432603544017,50520206.8
Altcoin,Neutral,4922,177143.62950361997,35.99017259317756,76.55755015839493,23.496705107084022,3677244.09
Major (BTC/ETH/SOL),Extreme Greed,3407,-17705.230089000004,-5.19672148194893,42.93966623876765,52.37817332944266,27200831.21
Major (BTC/ETH/SOL),Fear,28544,3263995.383536,114.34961405325112,86.75176405296124,64.67478820975985,497155337.5799999
Major (BTC/ETH/SOL),Greed,5614,108486.82775800003,19.324336971499825,69.50146627565982,57.46799431009957,61297111.489999995
Major (BTC/ETH/SOL),Neutral,1955,-28057.764761000028,-14.351797831713569,85.75031525851198,74.14409810935105,17984539.689999998
Memecoin,Extreme Greed,1004,83069.06094299999,82.73810850896413,96.09644087256028,56.95825049701789,4802120.94
Memecoin,Fear,9477,403633.445381,42.59084577197425,83.1308732523493,25.419259571775125,18079272.63
Memecoin,Greed,2365,74524.316901,31.511339070190274,79.42238267148014,60.33826638477802,3686353.56
Memecoin,Neutral,264,912.635849,3.4569539734848487,89.60000000000001,0.0,181450.57
